PerceptionOfWeight,BMIPCT,WeightPerception
4,97.19040936,Slightly overweight
3,30.70445124,About the right weight
3,57.42808938,About the right weight
4,94.59678707,Slightly overweight
4,91.6123508,Slightly overweight
3,51.62074,About the right weight
4,96.72407738,Slightly overweight
4,74.22155378,Slightly overweight
4,90.58080359,Slightly overweight
3,92.20626744,About the right weight
4,99.72814791,Slightly overweight
3,51.75407526,About the right weight
3,25.54426508,About the right weight
3,89.08334673,About the right weight
1,47.92411245,Very underweight
3,73.87758954,About the right weight
3,94.14481522,About the right weight
4,93.65318808,Slightly overweight
5,98.47449685,Very overweight
3,53.50194471,About the right weight
5,97.73477455,Very overweight
3,81.91225318,About the right weight
3,74.60880949,About the right weight
3,62.8727162,About the right weight
3,53.2684037,About the right weight
2,61.32168999,Slightly underweight
2,25.58313701,Slightly underweight
5,60.60293794,Very overweight
4,94.08941914,Slightly overweight
3,38.60495566,About the right weight
4,91.63840562,Slightly overweight
4,96.57697985,Slightly overweight
3,87.31008509,About the right weight
3,40.07525181,About the right weight
3,83.70656699,About the right weight
3,73.30661232,About the right weight
3,58.54997123,About the right weight
2,3.482496475,Slightly underweight
3,45.31791625,About the right weight
4,94.30346421,Slightly overweight
3,29.15338495,About the right weight
3,80.50659742,About the right weight
4,99.55259752,Slightly overweight
4,95.67864261,Slightly overweight
4,94.2759146,Slightly overweight
4,94.28594866,Slightly overweight
3,71.28169648,About the right weight
3,79.81648603,About the right weight
3,79.58428705,About the right weight
3,76.7529281,About the right weight
3,77.80336579,About the right weight
3,68.81281941,About the right weight
4,71.79758191,Slightly overweight
4,86.68831688,Slightly overweight
4,93.19114022,Slightly overweight
3,79.60759792,About the right weight
3,2.503724371,About the right weight
3,91.91194746,About the right weight
4,95.24491892,Slightly overweight
3,83.72971442,About the right weight
3,85.59959479,About the right weight
3,87.30229116,About the right weight
4,87.9278736,Slightly overweight
3,48.67945209,About the right weight
3,81.93007011,About the right weight
3,55.49169732,About the right weight
3,62.81069922,About the right weight
3,53.34483232,About the right weight
2,74.97339737,Slightly underweight
2,40.55138048,Slightly underweight
3,69.23037829,About the right weight
3,59.11401161,About the right weight
3,46.57601987,About the right weight
3,61.11298954,About the right weight
2,18.46336599,Slightly underweight
2,3.637992075,Slightly underweight
5,92.09238408,Very overweight
3,81.94224698,About the right weight
3,62.34594798,About the right weight
4,85.44054833,Slightly overweight
3,86.02675338,About the right weight
4,95.41000401,Slightly overweight
4,96.75003092,Slightly overweight
3,70.57774417,About the right weight
3,72.08322728,About the right weight
5,99.66678625,Very overweight
3,71.7892736,About the right weight
4,98.09399692,Slightly overweight
3,74.45590053,About the right weight
3,60.66321529,About the right weight
4,93.82384404,Slightly overweight
3,80.83682069,About the right weight
3,44.29519256,About the right weight
4,90.86753501,Slightly overweight
3,56.10159588,About the right weight
3,42.06368238,About the right weight
3,80.06893476,About the right weight
4,97.32805378,Slightly overweight
3,14.41009254,About the right weight
3,84.80186567,About the right weight
3,62.03042194,About the right weight
3,59.76694736,About the right weight
4,88.10799552,Slightly overweight
3,56.63986085,About the right weight
3,13.85179948,About the right weight
3,36.68936176,About the right weight
3,87.97784219,About the right weight
4,94.5410663,Slightly overweight
4,88.10799552,Slightly overweight
4,59.93830272,Slightly overweight
4,98.04103299,Slightly overweight
3,71.15953,About the right weight
2,45.71374899,Slightly underweight
3,47.22319469,About the right weight
3,94.9204042,About the right weight
4,99.33260638,Slightly overweight
3,87.0393965,About the right weight
3,76.32444601,About the right weight
3,86.74519316,About the right weight
3,74.65464156,About the right weight
3,68.73980755,About the right weight
2,16.84718793,Slightly underweight
4,43.7908813,Slightly overweight
4,74.63209612,Slightly overweight
3,71.52922262,About the right weight
3,97.65533802,About the right weight
3,98.48738358,About the right weight
3,68.71207628,About the right weight
3,98.95895127,About the right weight
3,86.202343,About the right weight
3,91.57529725,About the right weight
3,63.88776352,About the right weight
3,67.85584641,About the right weight
4,85.03453453,Slightly overweight
4,95.40360784,Slightly overweight
3,83.07923933,About the right weight
3,17.53146859,About the right weight
3,71.51246478,About the right weight
3,88.16756815,About the right weight
3,93.58318047,About the right weight
4,79.88256321,Slightly overweight
3,99.29030394,About the right weight
3,78.86564821,About the right weight
3,64.74907315,About the right weight
5,91.23362001,Very overweight
4,92.84085921,Slightly overweight
5,99.07598878,Very overweight
4,91.02982073,Slightly overweight
3,57.0210877,About the right weight
4,89.17048644,Slightly overweight
4,91.45626301,Slightly overweight
5,99.10961911,Very overweight
3,62.45929785,About the right weight
4,94.1589128,Slightly overweight
3,67.33594521,About the right weight
3,66.5318241,About the right weight
2,34.47387616,Slightly underweight
3,90.45285503,About the right weight
3,91.63970234,About the right weight
2,38.62086644,Slightly underweight
3,23.10048656,About the right weight
3,50.50283383,About the right weight
3,43.75638371,About the right weight
3,93.19045496,About the right weight
4,70.73919153,Slightly overweight
3,76.04241089,About the right weight
4,97.29153341,Slightly overweight
4,87.80684545,Slightly overweight
4,96.38472826,Slightly overweight
3,82.00000858,About the right weight
3,57.95910476,About the right weight
3,57.62712177,About the right weight
1,93.13918876,Very underweight
2,24.47152508,Slightly underweight
4,99.04348497,Slightly overweight
4,97.9086358,Slightly overweight
3,55.7534678,About the right weight
3,84.41178425,About the right weight
4,99.28284017,Slightly overweight
4,62.39033084,Slightly overweight
4,87.16521278,Slightly overweight
